Entity UEN,Country of Risk,Country of Domicile,SIC Canada,id,gender,birthdate,maiden_name,lname,fname,address,city,state,zip,primary_phone,primary_email,cc_type,Total Assets Amount,Total Assets Currency,Total Sales Amount,Total Sales Currency,SIN,Passport,Driving_ID
37051568,US,US,7291,172-32-1176,m,21-04-1958,Smith,White,Johnson,10932 Bigge Rd,Menlo Park,CA,94025,408 496-7223,jwhite@domain.com,m,10000000,USD,5000000,USD,408 496-722,BW334002,T0819-03448-88323
37051568,US,,A7291,514-14-8905,f,22-12-1944,Amaker,Borden,Ashley,4469 Sherman Street,Goff,KS,66428,785-939-6046,aborden@domain.com,m,10000000,USD,5000000,USD,785-939-604,FC324128,I2811-44696-42241
,US,US,,213-46-8915,f,21-04-1958,Pinson,Green,Marjorie,309 63rd St. #411,Oakland,CA,94618,415 986-7020,mgreen@domain.com,v,12500000,USD,6250000,USD,415 986-702,FD266827,J1674-58554-92420
37055662,US,,7291,524-02-7657,m,25-03-1962,Hall,Munsch,Jerome,2183 Roy Alley,Centennial,CO,80112,303-901-6123,jmunsch@domain.com,m,12500000,USD,6250000,USD,303-901-612,MY560023,B7102-21937-33857
37022645,US,U,7291,489-36-8350,m,06-09-1964,Porter,Aragon,Robert,3181 White Oak Drive,Kansas City,MO,66215,816-645-6936,raragon@domain.com,v,15625000,USD,7812500,USD,816-645-693,YK987683,Y6960-01012-30511
37022645,US,US,7291,514-30-2668,f,27-05-1986,Nicholson,Russell,Jacki,3097 Better Street,Kansas City,MO,66215,913-227-6106,jrussell@domain.com,a,15625000,USD,7812500,USD,913-227-610,SH046224,I2436-09513-59353
36365947,LU,Lua,7211,505-88-5714,f,23-09-1963,Mcclain,Venson,Lillian,539 Kyle Street,Wood River,NE,68883,308-583-8759,lvenson@domain.com,d,19531250,USD,9765625,USD,308-583-875,QP302971,A5820-71458-21330
36365947,LU,LU,B7211,690-05-5315,m,02-10-1969,Kings,Conley,Thomas,570 Nancy Street,Morrisville,NC,27560,919-656-6779,tconley@domain.com,v,19531250,USD,9765625,USD,919-656-677,LT277076,S9970-03066-08119
,US,US,7291,646-44-9061,M,12-01-1978,Kurtz,Jackson,Charles,1074 Small Street,New York,NY,10011,212-847-4915,cjackson@domain.com,m,24414062.5,CAD,12207031.25,CAD,212-847-491,MI157006,U1618-80018-28632
36345461,US,US,7291,421-37-1396,f,09-04-1980,Linden,Davis,Susan,4222 Bedford Street,Jasper,AL,35501,205-221-9156,sdavis@domain.com,v,24414062.5,CAD,12207031.25,CAD,205-221-915,YD051738,A5608-03566-78379
35096536,AU,AU,7291,461-97-5660,f,04-01-1975,Kingdon,Watson,Gail,3414 Gore Street,Houston,TX,77002,713-547-3414,gwatson@domain.com,v,30517578.13,CAD,15258789.06,CAD,713-547-341,DV485146,M7373-84007-11599
35096536,AU,AU,7291,660-03-8360,f,11-07-1953,Onwunli,Garrison,Lisa,515 Hillside Drive,Lake Charles,LA,70629,337-965-2982,lgarrison@domain.com,v,30517578.13,CAD,15258789.06,CAD,337-965-298,OJ396093,P7019-64546-11166
37052568,US,US,7291,751-01-2327,f,16-02-1968,Simpson,Renfro,Julie,4032 Arron Smith Drive,Kaunakakai,HI,96748,808-560-1638,jrenfro@domain.com,m,38146972.66,EUR,19073486.33,EUR,808-560-163,QK859987,T9742-27016-95626
37052568,US,US,7291,559-81-1301,m,20-01-1952,Mcafee,Heard,James,2865 Driftwood Road,San Jose,CA,95129,408-370-0031,jheard@domain.com,v,38146972.66,EUR,19073486.33,EUR,408-370-003,TU041025,O6058-08317-02749
37056662,US,USA,7291,624-84-9181,m,16-01-1980,Frazier,Reyes,Danny,3500 Diane Street,San Luis Obispo,CA,93401,805-369-0464,dreyes@domain.com,v,47683715.82,EUR,23841857.91,EUR,805-369-046,HH313377,M4579-60261-57193
37056662,US,US,7291,449-48-3135,m,14-06-1982,Feusier,Hall,Mark,4986 Chapel Street,Houston,TX,77077,281-597-5517,mhall@domain.com,v,47683715.82,EUR,23841857.91,EUR,281-597-551,GQ683637,Y9610-01255-92504
37023645,US,US,729,477-36-0282,m,10-03-1961,Vasquez,Mceachern,Monte,456 Oral Lake Road,Minneapolis,MN,55401,952-412-3707,mmceachern@domain.com,m,59604644.78,EUR,29802322.39,EUR,952-412-370,EL111812,P9769-36936-83466
37023645,US,US,7291,458-02-6124,m,20-09-1955,Pennebaker,Diaz,Christopher,582 Thrash Trail,Dallas,TX,75247,903-624-9156,cdiaz@domain.com,m,59604644.78,EUR,29802322.39,EUR,903-624-915,YQ399035,G0921-17670-75414
36366947,LU,LU,7211,044-34-6954,m,28-05-1967,Simpson,Lowe,Tim,1620 Maxwell Street,East Hartford,CT,6108,860-755-0293,tlowe@domain.com,m,74505805.97,EUR,37252902.98,EUR,860-755-029,ML434028,R1756-51585-15051
36366947,LU,LU,7211,587-03-2682,f,24-10-1958,Dickerson,Oyola,Lynette,2489 O Conner Street,Pascagoula,MS,39567,228-938-2056,loyola@domain.com,v,74505805.97,EUR,37252902.98,EUR,228-938-205,AE910974,R3933-65729-03608
36346461,US,US,7291,421-90-3440,f,17-07-1953,Kroeger,Morrison,Adriane,4696 Retreat Avenue,Birmingham,AL,35209,205-276-1807,amorrison@domain.com,v,93132257.46,CHF,46566128.73,CHF,205-276-180,YP417232,W5623-89655-50250
36346461,US,US,7291,451-80-3526,m,09-06-1950,Parmer,Santos,Thomas,173 Lunetta Street,Fort Worth,TX,76104,940-859-1393,tsantos@domain.com,v,93132257.46,CHF,46566128.73,CHF,940-859-139,KG227456,S3518-40905-10249
35097536,AU,AU,7291,300-62-3266,m,10-02-1965,Spain,Faulkner,Victor,1843 Olive Street,Toledo,OH,43602,419-340-3832,vfaulkner@domain.com,m,116415321.8,CHF,58207660.91,CHF,419-340-383,XB006231,L2896-07672-44625
35097537,AU,AU,7291,322-84-2281,m,19-08-1977,Miley,Iorio,Albert,4899 University Hill Road,Springfield,IL,62701,217-615-6419,aiorio@domain.com,v,116415321.8,CHF,58207660.91,CHF,217-615-641,AN380551,U1685-99178-41444
35097538,US,US,7291,465-73-5022,f,20-06-1964,Summers,Kaminski,Teresa,1517 Gambler Lane,Houston,TX,77006,281-906-2148,tkaminski@domain.com,m,116415321.8,CHF,58207660.91,CHF,281-906-214,PU492237,Z1392-43988-20204
35097539,US,US,7291,612-20-6832,m,18-08-1979,Banas,Edwards,Rick,4254 Walkers Ridge Way,Gardena,CA,90248,626-991-3620,redwards@domain.com,m,116415321.8,CHF,58207660.91,CHF,626-991-362,ID897613,A6921-40265-60207
35097540,US,US,7291,687-05-8365,f,24-05-1976,Robbins,Peacock,Stacey,3396 Nancy Street,Raleigh,NC,27612,919-571-2339,speacock@domain.com,m,116415321.8,CHF,58207660.91,CHF,919-571-233,SQ795778,N9178-07561-74333
35097541,US,US,7291,205-52-0027,f,26-03-1950,Sanford,Nelson,Agnes,4213 High Meadow Lane,Avoca,PA,18641,570-480-8704,anelson@domain.com,m,116415321.8,CHF,58207660.91,CHF,570-480-870,LC359006,R4141-04331-65800
35097542,US,US,7291,404-12-2154,f,21-09-1984,Garcia,Townsend,Mireille,2877 Glen Street,Paducah,KY,42003,270-408-7254,mtownsend@domain.com,v,116415321.8,CHF,58207660.91,CHF,270-408-725,ZF785717,U1928-05347-70576
35097543,US,US,7291,151-32-2558,f,19-11-1952,Stockdale,Zwick,Rebecca,784 Beechwood Avenue,Piscataway,NJ,8854,908-814-6733,rzwick@domain.com,v,116415321.8,CHF,58207660.91,CHF,908-814-673,MI369050,O7773-91429-31801
